"","date","dji"
"566",1898-08-19,59.09
"567",1898-08-22,59.39
"568",1898-08-23,59.63
"569",1898-08-24,59.72
"570",1898-08-25,60.52
"571",1898-08-26,60.97
"572",1898-08-29,59.57
"573",1898-08-30,59.92
"574",1898-08-31,60.35
"575",1898-09-01,60.5
"576",1898-09-02,60.38
"577",1898-09-06,60.16
"578",1898-09-07,58.92
"579",1898-09-08,58.54
"580",1898-09-09,57.77
"581",1898-09-12,58.08
"582",1898-09-13,57.55
"583",1898-09-14,57.42
"584",1898-09-15,58.38
"585",1898-09-16,58.04
"586",1898-09-19,57.61
"587",1898-09-20,57.23
"588",1898-09-21,58.33
"589",1898-09-22,57.73
"590",1898-09-23,57.63
"591",1898-09-26,56.55
"592",1898-09-27,55.22
"593",1898-09-28,54.52
"594",1898-09-29,54.88
"595",1898-09-30,53.44
"596",1898-10-03,53.62
"597",1898-10-04,53.8
"598",1898-10-05,53.76
"599",1898-10-06,53.36
"600",1898-10-07,53.08
"601",1898-10-10,52.51
"602",1898-10-11,51.85
"603",1898-10-12,51.81
"604",1898-10-13,52.87
"605",1898-10-14,52.28
"606",1898-10-17,52.18
"607",1898-10-18,51.76
"608",1898-10-19,51.56
"609",1898-10-20,51.8
"610",1898-10-21,52.21
"611",1898-10-24,52.85
"612",1898-10-25,53.64
"613",1898-10-26,54.23
"614",1898-10-27,54.24
"615",1898-10-28,54.89
"616",1898-10-31,55.43
"617",1898-11-01,54.94
"618",1898-11-02,54.51
"619",1898-11-03,54.95
"620",1898-11-04,54.75
"621",1898-11-07,55.57
"622",1898-11-09,55.3
"623",1898-11-10,56.02
"624",1898-11-11,56.4
"625",1898-11-14,57.08
"626",1898-11-15,56.9
"627",1898-11-16,56.77
"628",1898-11-17,56.79
"629",1898-11-18,56.58
"630",1898-11-21,56.75
"631",1898-11-22,56.97
"632",1898-11-23,56.71
"633",1898-11-25,56.27
"634",1898-11-28,56.79
"635",1898-11-29,56.89
"636",1898-11-30,57.2
"637",1898-12-01,58.16
"638",1898-12-02,58.14
"639",1898-12-05,58.3
"640",1898-12-06,58.3
"641",1898-12-07,58.52
"642",1898-12-08,59.04
"643",1898-12-09,59.75
"644",1898-12-12,60.28
"645",1898-12-13,59.53
"646",1898-12-14,59.38
"647",1898-12-15,58.97
"648",1898-12-16,58.81
"649",1898-12-19,58.78
"650",1898-12-20,59.11
"651",1898-12-21,59.19
"652",1898-12-22,59.43
"653",1898-12-23,60.09
"654",1898-12-27,60.42
"655",1898-12-28,59
"656",1898-12-29,60.16
"657",1898-12-30,60.52
"658",1899-01-03,60.41
"659",1899-01-04,60.69
"660",1899-01-05,60.91
"661",1899-01-06,60.86
"662",1899-01-09,61.98
"663",1899-01-10,61.45
"664",1899-01-11,61.31
"665",1899-01-12,61.23
"666",1899-01-13,61.71
"667",1899-01-16,61.28
"668",1899-01-17,61.41
"669",1899-01-18,61.93
"670",1899-01-19,62.3
"671",1899-01-20,62.4
"672",1899-01-23,62.37
"673",1899-01-24,61.8
"674",1899-01-25,63.05
"675",1899-01-26,63.83
"676",1899-01-27,64.64
"677",1899-01-30,65.02
"678",1899-01-31,64.35
"679",1899-02-01,64.44
"680",1899-02-02,63.93
"681",1899-02-03,63.61
"682",1899-02-06,63.05
"683",1899-02-07,61.95
"684",1899-02-08,62.23
"685",1899-02-09,62.1
"686",1899-02-10,62.11
"687",1899-02-14,62.55
"688",1899-02-15,62.5
"689",1899-02-16,62.7
"690",1899-02-17,63.13
"691",1899-02-20,66.76
"692",1899-02-21,66.89
"693",1899-02-23,67.32
"694",1899-02-24,67.35
"695",1899-02-27,66.98
"696",1899-02-28,66.78
"697",1899-03-01,66.64
"698",1899-03-02,65.9
"699",1899-03-03,67.02
"700",1899-03-06,65.95
"701",1899-03-07,66.4
"702",1899-03-08,67.29
"703",1899-03-09,67.66
"704",1899-03-10,68.14
"705",1899-03-13,68.89
"706",1899-03-14,68.98
"707",1899-03-15,68.9
"708",1899-03-16,70.71
"709",1899-03-17,71.26
"710",1899-03-20,71.19
"711",1899-03-21,71.28
"712",1899-03-22,71.83
"713",1899-03-23,71.56
"714",1899-03-24,71.98
"715",1899-03-27,73.73
"716",1899-03-28,74.7
"717",1899-03-29,74.17
"718",1899-03-30,74.33
"719",1899-04-03,76.02
"720",1899-04-04,76.04
"721",1899-04-05,75.87
"722",1899-04-06,74.17
"723",1899-04-07,73.08
"724",1899-04-10,72.6
"725",1899-04-11,74.49
"726",1899-04-12,75.1
"727",1899-04-13,75.33
"728",1899-04-14,76.04
"729",1899-04-17,75.96
"730",1899-04-18,76.36
"731",1899-04-19,76.29
"732",1899-04-20,76.05
"733",1899-04-21,76.71
"734",1899-04-24,76.53
"735",1899-04-25,77.28
"736",1899-04-26,77.14
"737",1899-04-27,77.03
"738",1899-04-28,77.1
"739",1899-05-01,74.59
"740",1899-05-02,76.04
"741",1899-05-03,76
"742",1899-05-04,75.39
"743",1899-05-05,74.48
"744",1899-05-08,72.18
"745",1899-05-09,69.98
"746",1899-05-10,72.47
"747",1899-05-11,71.88
"748",1899-05-12,72.18
"749",1899-05-15,69.77
"750",1899-05-16,70.96
"751",1899-05-17,72.75
"752",1899-05-18,71.84
"753",1899-05-19,71.81
"754",1899-05-22,71.71
"755",1899-05-23,71.01
"756",1899-05-24,70.27
"757",1899-05-25,70.76
"758",1899-05-26,70.29
"759",1899-05-31,67.51
"760",1899-06-01,68.4
"761",1899-06-02,70.11
"762",1899-06-05,69.73
"763",1899-06-06,70.09
"764",1899-06-07,70.71
"765",1899-06-08,71.03
"766",1899-06-09,72.29
"767",1899-06-12,73.08
"768",1899-06-13,71.88
"769",1899-06-14,71.92
"770",1899-06-15,71.71
"771",1899-06-16,71.62
"772",1899-06-19,70.43
"773",1899-06-20,70.3
"774",1899-06-21,69.39
"775",1899-06-22,68.84
"776",1899-06-23,69.82
"777",1899-06-26,69.85
"778",1899-06-27,70.44
"779",1899-06-28,70.54
"780",1899-06-29,70.18
"781",1899-06-30,70.38
"782",1899-07-05,71.48
"783",1899-07-06,71.92
"784",1899-07-07,72.15
"785",1899-07-10,70.55
"786",1899-07-11,71.35
"787",1899-07-12,71.55
"788",1899-07-13,71.67
"789",1899-07-14,71.02
"790",1899-07-17,70.9
"791",1899-07-18,71.37
"792",1899-07-19,71.07
"793",1899-07-20,71.57
"794",1899-07-21,72.08
"795",1899-07-24,71.75
"796",1899-07-25,72.19
"797",1899-07-26,71.99
"798",1899-07-27,72.48
"799",1899-07-28,72.95
"800",1899-07-31,73.73
"801",1899-08-01,73.89
"802",1899-08-02,74.29
"803",1899-08-03,74.61
"804",1899-08-04,74.68
"805",1899-08-07,73.68
"806",1899-08-08,74.23
"807",1899-08-09,74.59
"808",1899-08-10,75.37
"809",1899-08-11,75.19
"810",1899-08-14,76.23
"811",1899-08-15,75.63
"812",1899-08-16,75.15
"813",1899-08-17,75.62
"814",1899-08-18,75.64
"815",1899-08-21,75.73
"816",1899-08-22,75.1
"817",1899-08-23,76
"818",1899-08-24,75.61
"819",1899-08-25,75.59
"820",1899-08-28,75.64
"821",1899-08-29,75.26
"822",1899-08-30,76.04
"823",1899-08-31,75.66
"824",1899-09-01,75.57
"825",1899-09-05,77.61
"826",1899-09-06,76.97
"827",1899-09-07,76.61
"828",1899-09-08,76.56
"829",1899-09-11,75.59
"830",1899-09-12,74.68
"831",1899-09-13,76.11
"832",1899-09-14,75.65
"833",1899-09-15,74.55
"834",1899-09-18,72.39
"835",1899-09-19,73.1
"836",1899-09-20,72.55
"837",1899-09-21,73.1
"838",1899-09-22,74.22
"839",1899-09-25,72.76
"840",1899-09-26,72.4
